head,head_type,relation,tail,tail_type,confidence,sentence
freshwater,Ecosystem,occurs_in,freshwater,Ecosystem,0.643,"Implementation of the ERP rapidly and at scale through many widely dispersed local actions focused on regions of high freshwater biodiversity and intense threat, together with an intensification of exsitu conservation efforts, will be necessary to preserve native freshwater biodiversity during an increasingly uncertain climatic future in which poorly understood, emergent and interacting threats have become more influential."
"deforestation,",Human_Activity,increases,"precipitation extremes,",Climate_Driver,0.868,"Significance Landslides are triggered more often by human-induced changes, such as deforestation, infrastructure building, and increasing precipitation extremes, because of climate change."
"deforestation,",Human_Activity,contributes_to,climate change.,Climate_Driver,0.943,"Significance Landslides are triggered more often by human-induced changes, such as deforestation, infrastructure building, and increasing precipitation extremes, because of climate change."
"precipitation extremes,",Climate_Driver,causes,"deforestation,",Human_Activity,0.959,"Significance Landslides are triggered more often by human-induced changes, such as deforestation, infrastructure building, and increasing precipitation extremes, because of climate change."
"precipitation extremes,",Climate_Driver,contributes_to,climate change.,Climate_Driver,0.664,"Significance Landslides are triggered more often by human-induced changes, such as deforestation, infrastructure building, and increasing precipitation extremes, because of climate change."
climate change.,Climate_Driver,causes,"deforestation,",Human_Activity,0.931,"Significance Landslides are triggered more often by human-induced changes, such as deforestation, infrastructure building, and increasing precipitation extremes, because of climate change."
climate change.,Climate_Driver,increases,"precipitation extremes,",Climate_Driver,0.985,"Significance Landslides are triggered more often by human-induced changes, such as deforestation, infrastructure building, and increasing precipitation extremes, because of climate change."
deforestation,Human_Activity,causes,landslide,Env_Event,0.915,"Although biodiversity conservation and development are often regarded as having a trade-off relationship, here we present a global analysis of the area with co-benefits, where conservation through expanding protection and reducing deforestation can not only benefit biodiversity but also reduce landslide risks to human society."
landslide,Env_Event,contributes_to,climate change,Climate_Driver,0.762,Another 31 biodiverse mountains are classified as future vulnerable mountains as they face increasing landslide risks because of predicted climate change and deforestation.
landslide,Env_Event,causes,deforestation.,Human_Activity,0.515,Another 31 biodiverse mountains are classified as future vulnerable mountains as they face increasing landslide risks because of predicted climate change and deforestation.
climate change,Climate_Driver,causes,landslide,Env_Event,0.958,Another 31 biodiverse mountains are classified as future vulnerable mountains as they face increasing landslide risks because of predicted climate change and deforestation.
climate change,Climate_Driver,causes,deforestation.,Human_Activity,0.928,Another 31 biodiverse mountains are classified as future vulnerable mountains as they face increasing landslide risks because of predicted climate change and deforestation.
deforestation.,Human_Activity,causes,landslide,Env_Event,0.975,Another 31 biodiverse mountains are classified as future vulnerable mountains as they face increasing landslide risks because of predicted climate change and deforestation.
deforestation.,Human_Activity,contributes_to,climate change,Climate_Driver,0.976,Another 31 biodiverse mountains are classified as future vulnerable mountains as they face increasing landslide risks because of predicted climate change and deforestation.
deforestation,Human_Activity,increases,precipitation,Climate_Driver,0.643,"Of the 278 mountains, 52 need immediate actions because of high vulnerability, severe threats from future deforestation and precipitation extremes, low protection, and high-population density and anthropogenic activities."
precipitation,Climate_Driver,causes,deforestation,Human_Activity,0.958,"Of the 278 mountains, 52 need immediate actions because of high vulnerability, severe threats from future deforestation and precipitation extremes, low protection, and high-population density and anthropogenic activities."
climate change-related,Climate_Driver,contributes_to,future warming.,Climate_Driver,0.806,Our analysis suggests that the next set of biodiversity targets explicitly addresses climate change-related risks since many aspirational goals will not be feasible under even lower-end projections of future warming.
future warming.,Climate_Driver,increases,climate change-related,Climate_Driver,0.886,Our analysis suggests that the next set of biodiversity targets explicitly addresses climate change-related risks since many aspirational goals will not be feasible under even lower-end projections of future warming.
"air pollution,",Climate_Driver,causes,"wildfires,",Env_Event,0.979,"There is an expanding body of evidence that climate-related exposures, such as air pollution, heat, wildfires, extreme weather events, and biodiversity loss significantly disrupt the functioning of the human immune system."
"wildfires,",Env_Event,contributes_to,"air pollution,",Climate_Driver,0.924,"There is an expanding body of evidence that climate-related exposures, such as air pollution, heat, wildfires, extreme weather events, and biodiversity loss significantly disrupt the functioning of the human immune system."
temperature,Climate_Variable,contributes_to,precipitation,Climate_Driver,0.651,"Further, a population's climatic position (how close the ambient temperature and precipitation conditions are to the species climatic tolerance limits) is known to influence responses to climate change but has yet to be investigated with regard to its influence on landuse change responses over time."
precipitation,Climate_Driver,increases,temperature,Climate_Variable,0.981,"Further, a population's climatic position (how close the ambient temperature and precipitation conditions are to the species climatic tolerance limits) is known to influence responses to climate change but has yet to be investigated with regard to its influence on landuse change responses over time."
climate change,Climate_Driver,contributes_to,"ocean warming,",Climate_Driver,0.961,"The impacts of climate change on ecosystems are discussed, including ocean warming, acidification, and altered ocean currents; factors that pose challenges for various species."
climate change,Climate_Driver,increases,ocean currents;,Climate_Driver,0.935,"The impacts of climate change on ecosystems are discussed, including ocean warming, acidification, and altered ocean currents; factors that pose challenges for various species."
"ocean warming,",Climate_Driver,contributes_to,climate change,Climate_Driver,0.973,"The impacts of climate change on ecosystems are discussed, including ocean warming, acidification, and altered ocean currents; factors that pose challenges for various species."
"ocean warming,",Climate_Driver,increases,ocean currents;,Climate_Driver,0.971,"The impacts of climate change on ecosystems are discussed, including ocean warming, acidification, and altered ocean currents; factors that pose challenges for various species."
ocean currents;,Climate_Driver,contributes_to,climate change,Climate_Driver,0.953,"The impacts of climate change on ecosystems are discussed, including ocean warming, acidification, and altered ocean currents; factors that pose challenges for various species."
ocean currents;,Climate_Driver,contributes_to,"ocean warming,",Climate_Driver,0.858,"The impacts of climate change on ecosystems are discussed, including ocean warming, acidification, and altered ocean currents; factors that pose challenges for various species."
North,Geo_Location,occurs_in,America.,Geo_Location,0.733,"Here, we use range-wide environmental niche models to posit that climate-mediated range fragmentation aggravates the direct effects of climate change on species in the boreal forest of North America."
America.,Geo_Location,occurs_in,North,Geo_Location,0.945,"Here, we use range-wide environmental niche models to posit that climate-mediated range fragmentation aggravates the direct effects of climate change on species in the boreal forest of North America."
spruce,Ecosystem,occurs_in,North,Geo_Location,0.984,"Despite the diversity of taxa surveyed, patterns of range fragmentation are remarkably consistent, with our models predicting that spruce grouse (Dendragapus canadensis), boreal chickadee (Poecile hudsonicus), moose (Alces americanus) and caribou (Rangifer tarandus) could have entirely disjunct east-west population segments in North America."
spruce,Ecosystem,occurs_in,America.,Geo_Location,0.971,"Despite the diversity of taxa surveyed, patterns of range fragmentation are remarkably consistent, with our models predicting that spruce grouse (Dendragapus canadensis), boreal chickadee (Poecile hudsonicus), moose (Alces americanus) and caribou (Rangifer tarandus) could have entirely disjunct east-west population segments in North America."
moose,Ecosystem,occurs_in,North,Geo_Location,0.978,"Despite the diversity of taxa surveyed, patterns of range fragmentation are remarkably consistent, with our models predicting that spruce grouse (Dendragapus canadensis), boreal chickadee (Poecile hudsonicus), moose (Alces americanus) and caribou (Rangifer tarandus) could have entirely disjunct east-west population segments in North America."
moose,Ecosystem,occurs_in,America.,Geo_Location,0.958,"Despite the diversity of taxa surveyed, patterns of range fragmentation are remarkably consistent, with our models predicting that spruce grouse (Dendragapus canadensis), boreal chickadee (Poecile hudsonicus), moose (Alces americanus) and caribou (Rangifer tarandus) could have entirely disjunct east-west population segments in North America."
North,Geo_Location,occurs_in,America.,Geo_Location,0.571,"Despite the diversity of taxa surveyed, patterns of range fragmentation are remarkably consistent, with our models predicting that spruce grouse (Dendragapus canadensis), boreal chickadee (Poecile hudsonicus), moose (Alces americanus) and caribou (Rangifer tarandus) could have entirely disjunct east-west population segments in North America."
America.,Geo_Location,occurs_in,North,Geo_Location,0.855,"Despite the diversity of taxa surveyed, patterns of range fragmentation are remarkably consistent, with our models predicting that spruce grouse (Dendragapus canadensis), boreal chickadee (Poecile hudsonicus), moose (Alces americanus) and caribou (Rangifer tarandus) could have entirely disjunct east-west population segments in North America."
"deforestation,",Human_Activity,occurs_in,Amazonian,Geo_Location,0.785,"Amazonian biodiversity is increasingly threatened due to the weakening of policies for combating deforestation, especially in Brazil."
deforestation,Human_Activity,occurs_in,Amazon,Geo_Location,0.914,This review presents the main impacts of Amazon deforestation on infectious-disease dynamics and public health from a One Health perspective.
"rainforest,",Ecosystem,occurs_in,Amazon,Geo_Location,0.91,"Because Brazil holds the largest area of Amazon rainforest, emphasis is given to the Brazilian scenario."
global,Climate_Driver,contributes_to,climate change,Climate_Driver,0.954,We present an approach to assess the impacts of global climate change on biodiversity that takes into account adaptive genetic variation and evolutionary potential.
climate change,Climate_Driver,contributes_to,global,Climate_Driver,0.941,We present an approach to assess the impacts of global climate change on biodiversity that takes into account adaptive genetic variation and evolutionary potential.
greenhouse gases,Climate_Driver,causes,deforestation,Human_Activity,0.987,Meanwhile research on reducing emissions from deforestation and forest degradation (REDD+) has focused largely on how to design payments to achieve the greatest additional reduction in greenhouse gases relative to baseline rates.
South,Geo_Location,occurs_in,America,Geo_Location,0.619,Africa (with declines up to 25%) and South America were the most affected regions.
America,Geo_Location,occurs_in,South,Geo_Location,0.763,Africa (with declines up to 25%) and South America were the most affected regions.
Australian,Geo_Location,occurs_in,South,Geo_Location,0.86,"African insectivores, primates, Australian carnivorous marsupials and marsupial moles, and South American opossums declined the most."
Australian,Geo_Location,occurs_in,American,Geo_Location,0.588,"African insectivores, primates, Australian carnivorous marsupials and marsupial moles, and South American opossums declined the most."
South,Geo_Location,occurs_in,American,Geo_Location,0.669,"African insectivores, primates, Australian carnivorous marsupials and marsupial moles, and South American opossums declined the most."
American,Geo_Location,occurs_in,Australian,Geo_Location,0.74,"African insectivores, primates, Australian carnivorous marsupials and marsupial moles, and South American opossums declined the most."
American,Geo_Location,occurs_in,South,Geo_Location,0.925,"African insectivores, primates, Australian carnivorous marsupials and marsupial moles, and South American opossums declined the most."
South,Geo_Location,occurs_in,America.,Geo_Location,0.749,"Tackling this loss would require a mix of actions across scales, including a global shift toward sustainability, addressing land-use change in sub-Saharan Africa, and helping endemic species track climate change in South America."
America.,Geo_Location,occurs_in,South,Geo_Location,0.959,"Tackling this loss would require a mix of actions across scales, including a global shift toward sustainability, addressing land-use change in sub-Saharan Africa, and helping endemic species track climate change in South America."
El,Geo_Location,occurs_in,Africa.,Geo_Location,0.8,"Such weather-related disturbances such as El Nio will place a premium on biodiversity and biodiversity-based ecosystem services that people rely on.Conclusion: As biodiversity underlies all goods and services provided by ecosystems that are crucial for human survival and well-being, this paper synthesizes and discusses observed and anticipated impacts of climate change on biodiversity and biodiversity-based ecosystem service provision and livelihoods, and what strategies might be employed to decrease current and future risks on the well-being of human in Africa."
cloud,Ecosystem,occurs_in,Andes.,Geo_Location,0.558,Rapid 21st-century climate change may lead to large population decreases and extinction in tropical montane cloud forest species in the Andes.
Peruvian,Geo_Location,occurs_in,Andes.,Geo_Location,0.675,We examined a 42-year span of aerial photographs and high resolution satellite imagery to calculate migration rates of timberlinethe grassland-forest ecotoneinside and outside of protected areas in the high Peruvian Andes.
Andes.,Geo_Location,occurs_in,Peruvian,Geo_Location,0.917,We examined a 42-year span of aerial photographs and high resolution satellite imagery to calculate migration rates of timberlinethe grassland-forest ecotoneinside and outside of protected areas in the high Peruvian Andes.
climate change,Climate_Driver,affects,coastal,Ecosystem,0.986,"The most profound impacts of climate change in Sri Lanka will be on agriculture and food security, water and coastal resources, biodiversity changes, and human health."
coastal,Ecosystem,occurs_in,Sri,Geo_Location,0.954,"The most profound impacts of climate change in Sri Lanka will be on agriculture and food security, water and coastal resources, biodiversity changes, and human health."
"freshwater wetlands,",Ecosystem,occurs_in,coastal,Ecosystem,0.84,"The subsequent sections featuring specific aspects of biodiversity in forests, freshwater wetlands, coastal and marine systems and agricultural systems, provide greater detail on the ecosystem services and bio-resources."
coastal,Ecosystem,occurs_in,"freshwater wetlands,",Ecosystem,0.776,"The subsequent sections featuring specific aspects of biodiversity in forests, freshwater wetlands, coastal and marine systems and agricultural systems, provide greater detail on the ecosystem services and bio-resources."
coastal,Ecosystem,occurs_in,marine,Ecosystem,0.618,"The subsequent sections featuring specific aspects of biodiversity in forests, freshwater wetlands, coastal and marine systems and agricultural systems, provide greater detail on the ecosystem services and bio-resources."
marine,Ecosystem,occurs_in,"freshwater wetlands,",Ecosystem,0.736,"The subsequent sections featuring specific aspects of biodiversity in forests, freshwater wetlands, coastal and marine systems and agricultural systems, provide greater detail on the ecosystem services and bio-resources."
marine,Ecosystem,occurs_in,coastal,Ecosystem,0.841,"The subsequent sections featuring specific aspects of biodiversity in forests, freshwater wetlands, coastal and marine systems and agricultural systems, provide greater detail on the ecosystem services and bio-resources."
deforestation,Human_Activity,contributes_to,climate change,Climate_Driver,0.923,"Habitat loss and fragmentation, invasive alien species, deforestation and forest degradation, development projects, environmental pollutions and climate change (global warming) are the major threats to the biodiversity of the country."
climate change,Climate_Driver,causes,deforestation,Human_Activity,0.989,"Habitat loss and fragmentation, invasive alien species, deforestation and forest degradation, development projects, environmental pollutions and climate change (global warming) are the major threats to the biodiversity of the country."
deforestation,Human_Activity,occurs_in,Sri Lanka,Geo_Location,0.907,The government of Sri Lanka has been implementing various environmental projects aiming at reducing deforestation and degradation of ecosystems.
"greenhouse gas emissions,",Climate_Driver,affects,"seascapes,",Ecosystem,0.979,"Drastic reductions in greenhouse gas emissions, protection of multiuse landscapes and seascapes, and policies for providing equitable access to natural resources can help to ensure future ecological function and human well-being."
global climate,Climate_Driver,affects,"land,",Ecosystem,0.979,"The coupled global climate and biodiversity crises and their societal impacts concern land, freshwater, and ocean ecosystems alike but are insufficiently tackled by current actions, as identified by assessments of both the IPCC (Intergovernmental Panel on Climate Change) and IPBES (Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services)."
global climate,Climate_Driver,affects,"freshwater,",Ecosystem,0.984,"The coupled global climate and biodiversity crises and their societal impacts concern land, freshwater, and ocean ecosystems alike but are insufficiently tackled by current actions, as identified by assessments of both the IPCC (Intergovernmental Panel on Climate Change) and IPBES (Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services)."
global climate,Climate_Driver,affects,ocean,Ecosystem,0.978,"The coupled global climate and biodiversity crises and their societal impacts concern land, freshwater, and ocean ecosystems alike but are insufficiently tackled by current actions, as identified by assessments of both the IPCC (Intergovernmental Panel on Climate Change) and IPBES (Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services)."
"land,",Ecosystem,occurs_in,"freshwater,",Ecosystem,0.684,"The coupled global climate and biodiversity crises and their societal impacts concern land, freshwater, and ocean ecosystems alike but are insufficiently tackled by current actions, as identified by assessments of both the IPCC (Intergovernmental Panel on Climate Change) and IPBES (Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services)."
"land,",Ecosystem,occurs_in,ocean,Ecosystem,0.506,"The coupled global climate and biodiversity crises and their societal impacts concern land, freshwater, and ocean ecosystems alike but are insufficiently tackled by current actions, as identified by assessments of both the IPCC (Intergovernmental Panel on Climate Change) and IPBES (Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services)."
"freshwater,",Ecosystem,occurs_in,"land,",Ecosystem,0.601,"The coupled global climate and biodiversity crises and their societal impacts concern land, freshwater, and ocean ecosystems alike but are insufficiently tackled by current actions, as identified by assessments of both the IPCC (Intergovernmental Panel on Climate Change) and IPBES (Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services)."
"freshwater,",Ecosystem,affects,ocean,Ecosystem,0.614,"The coupled global climate and biodiversity crises and their societal impacts concern land, freshwater, and ocean ecosystems alike but are insufficiently tackled by current actions, as identified by assessments of both the IPCC (Intergovernmental Panel on Climate Change) and IPBES (Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services)."
ocean,Ecosystem,occurs_in,"land,",Ecosystem,0.807,"The coupled global climate and biodiversity crises and their societal impacts concern land, freshwater, and ocean ecosystems alike but are insufficiently tackled by current actions, as identified by assessments of both the IPCC (Intergovernmental Panel on Climate Change) and IPBES (Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services)."
ocean,Ecosystem,occurs_in,"freshwater,",Ecosystem,0.561,"The coupled global climate and biodiversity crises and their societal impacts concern land, freshwater, and ocean ecosystems alike but are insufficiently tackled by current actions, as identified by assessments of both the IPCC (Intergovernmental Panel on Climate Change) and IPBES (Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services)."
"climate change,",Climate_Driver,causes,Crisis.,Geo_Location,0.949,"They have caused climate change, pollution, and biodiversity loss, the Triple Planetary Crisis."
Crisis.,Geo_Location,contributes_to,"climate change,",Climate_Driver,0.748,"They have caused climate change, pollution, and biodiversity loss, the Triple Planetary Crisis."
marine,Ecosystem,occurs_in,seagrasses),Ecosystem,0.799,Habitat-forming marine macrophytes (brown macroalgae and seagrasses) provide important ecological and socio-economic services but are threatened by climate change.
seagrasses),Ecosystem,occurs_in,marine,Ecosystem,0.516,Habitat-forming marine macrophytes (brown macroalgae and seagrasses) provide important ecological and socio-economic services but are threatened by climate change.
climate change.,Climate_Driver,affects,marine,Ecosystem,0.988,Habitat-forming marine macrophytes (brown macroalgae and seagrasses) provide important ecological and socio-economic services but are threatened by climate change.
climate change.,Climate_Driver,affects,seagrasses),Ecosystem,0.985,Habitat-forming marine macrophytes (brown macroalgae and seagrasses) provide important ecological and socio-economic services but are threatened by climate change.
global,Geo_Location,contributes_to,"greenhouse gas emissions,",Climate_Driver,0.938,"While it has contributed the least to global greenhouse gas emissions, the people in the region face imminent threats to their health and well-being due to extreme weather events and a range of other climate-induced challenges, such as biodiversity loss and monsoon floods."
global,Geo_Location,causes,floods.,Env_Event,0.979,"While it has contributed the least to global greenhouse gas emissions, the people in the region face imminent threats to their health and well-being due to extreme weather events and a range of other climate-induced challenges, such as biodiversity loss and monsoon floods."
"greenhouse gas emissions,",Climate_Driver,contributes_to,global,Geo_Location,0.949,"While it has contributed the least to global greenhouse gas emissions, the people in the region face imminent threats to their health and well-being due to extreme weather events and a range of other climate-induced challenges, such as biodiversity loss and monsoon floods."
"greenhouse gas emissions,",Climate_Driver,causes,floods.,Env_Event,0.987,"While it has contributed the least to global greenhouse gas emissions, the people in the region face imminent threats to their health and well-being due to extreme weather events and a range of other climate-induced challenges, such as biodiversity loss and monsoon floods."
floods.,Env_Event,contributes_to,"greenhouse gas emissions,",Climate_Driver,0.891,"While it has contributed the least to global greenhouse gas emissions, the people in the region face imminent threats to their health and well-being due to extreme weather events and a range of other climate-induced challenges, such as biodiversity loss and monsoon floods."
"climate change,",Climate_Driver,affects,marine,Ecosystem,0.985,"Drawing from different ecological and biological disciplines, we identify a series of actions to sustain the resilience of marine habitat-forming species to climate change, as well as their effectiveness and reliability in rescuing stress-sensitive species from increasingly adverse environmental conditions."
"wildfire,",Env_Event,causes,flooding.,Env_Event,0.977,"The impacts of invasive species, habitat loss, altered fire regimes, and changed water flows are now compounded by climate change, particularly through extreme drought, heat, wildfire, and flooding."
climate change,Climate_Driver,contributes_to,"greenhouse gas emissions,",Climate_Driver,0.965,"Therefore, climate change impacts on species may be disproportionately significant in countries with lower capacity for effective conservation and lower greenhouse gas emissions, raising important questions of international justice."
"greenhouse gas emissions,",Climate_Driver,contributes_to,climate change,Climate_Driver,0.974,"Therefore, climate change impacts on species may be disproportionately significant in countries with lower capacity for effective conservation and lower greenhouse gas emissions, raising important questions of international justice."
climate change,Climate_Driver,contributes_to,climate change's,Climate_Driver,0.977,"While climate change might be the most pressing environmental challenge and mitigation is clearly off-track, other issues rank higher because of climate change's high attention in research."
climate change's,Climate_Driver,contributes_to,climate change,Climate_Driver,0.96,"While climate change might be the most pressing environmental challenge and mitigation is clearly off-track, other issues rank higher because of climate change's high attention in research."
peatland,Ecosystem,occurs_in,Canadas Northwest,Geo_Location,0.977,We extended the process-based model ecosys to simulate thermokarst dynamics in laterally coupled 2D transects at a well-characterized boreal peatland site in Canadas Northwest Territories.
peatland,Ecosystem,occurs_in,Territories.,Geo_Location,0.972,We extended the process-based model ecosys to simulate thermokarst dynamics in laterally coupled 2D transects at a well-characterized boreal peatland site in Canadas Northwest Territories.
Canadas Northwest,Geo_Location,occurs_in,Territories.,Geo_Location,0.6,We extended the process-based model ecosys to simulate thermokarst dynamics in laterally coupled 2D transects at a well-characterized boreal peatland site in Canadas Northwest Territories.
Territories.,Geo_Location,occurs_in,Canadas Northwest,Geo_Location,0.906,We extended the process-based model ecosys to simulate thermokarst dynamics in laterally coupled 2D transects at a well-characterized boreal peatland site in Canadas Northwest Territories.
black,Ecosystem,affects,spruce,Ecosystem,0.572,"Simulated vegetation dynamics indicate that black spruce mortality cannot be explained by anoxia alone, pointing to additional stressors such as root damage, pathogens, or physical destabilization."
spruce,Ecosystem,affects,black,Ecosystem,0.53,"Simulated vegetation dynamics indicate that black spruce mortality cannot be explained by anoxia alone, pointing to additional stressors such as root damage, pathogens, or physical destabilization."
greenhouse warming,Climate_Driver,affects,peatlands,Ecosystem,0.989,"As a result, lateral retreat substantially increases the greenhouse warming potential of permafrost peatlands (1.7 million km2 in area), with simulated emissions of 0.110 Mt CO2-eq decade1 depending on hydrology and retreat rates."
Arctic,Geo_Location,occurs_in,"Island,",Geo_Location,0.932,"Between May and August 2023 and 2024, we measured CH4 using floating chambers in a small Arctic permafrost catchment on Disko Island, Greenland."
"Island,",Geo_Location,occurs_in,Arctic,Geo_Location,0.891,"Between May and August 2023 and 2024, we measured CH4 using floating chambers in a small Arctic permafrost catchment on Disko Island, Greenland."
global warming,Climate_Driver,affects,tundra,Ecosystem,0.99,"Methane emissions regulate the nearterm global warming potential of permafrost thaw, particularly where loss of icerich permafrost converts forest and tundra into wetlands."
Interior,Geo_Location,occurs_in,"Alaska,",Geo_Location,0.973,"At a thawing wetland complex in Interior Alaska, we found that interactions between rain and deep soil temperatures controlled methane emissions."
"Alaska,",Geo_Location,occurs_in,Interior,Geo_Location,0.94,"At a thawing wetland complex in Interior Alaska, we found that interactions between rain and deep soil temperatures controlled methane emissions."
Plateau.,Geo_Location,occurs_in,Qinghai-Tibet,Geo_Location,0.921,"In this study, systematic soil methane cycle geochemical monitoring was carried out in a typical gas hydrate region in the Qinghai-Tibet Plateau."
methane emissions,Climate_Driver,affects,Plateau,Geo_Location,0.74,Wetland methane emissions in the permafrost regions of the Qinghai-Tibet Plateau is more sensitive to climate warming and can result in a positive climate feedback.
methane emissions,Climate_Driver,contributes_to,climate warming,Climate_Driver,0.912,Wetland methane emissions in the permafrost regions of the Qinghai-Tibet Plateau is more sensitive to climate warming and can result in a positive climate feedback.
Plateau,Geo_Location,occurs_in,Qinghai-Tibet,Geo_Location,0.813,Wetland methane emissions in the permafrost regions of the Qinghai-Tibet Plateau is more sensitive to climate warming and can result in a positive climate feedback.
climate warming,Climate_Driver,affects,Plateau,Geo_Location,0.884,Wetland methane emissions in the permafrost regions of the Qinghai-Tibet Plateau is more sensitive to climate warming and can result in a positive climate feedback.
Xiao Xing'an Mountains,Geo_Location,occurs_in,China,Geo_Location,0.678,"We selected the northwestern section of the Xiao Xing'an Mountains in China as the study area, located in the degradation zone on the southern margin of the permafrost region in Eurasia, and set up multiple study monitoring areas equipped with methane concentration sensors, air temperature sensors, pore water pressure sensors and soil temperature sensors for long-term monitoring of data changes using the high-density electrical method, ground penetrating radar and on-site drilling to survey the distribution of frozen soil and geological conditions in the study area, combined with remote sensing images of Sentinel-2 L1C and unmanned aerial vehicle photographs and three-dimensional image reconstruction, analysis of fire activities and related geological environmental factors."
Xiao Xing'an Mountains,Geo_Location,occurs_in,"Eurasia,",Geo_Location,0.696,"We selected the northwestern section of the Xiao Xing'an Mountains in China as the study area, located in the degradation zone on the southern margin of the permafrost region in Eurasia, and set up multiple study monitoring areas equipped with methane concentration sensors, air temperature sensors, pore water pressure sensors and soil temperature sensors for long-term monitoring of data changes using the high-density electrical method, ground penetrating radar and on-site drilling to survey the distribution of frozen soil and geological conditions in the study area, combined with remote sensing images of Sentinel-2 L1C and unmanned aerial vehicle photographs and three-dimensional image reconstruction, analysis of fire activities and related geological environmental factors."
China,Geo_Location,occurs_in,Xiao Xing'an Mountains,Geo_Location,0.557,"We selected the northwestern section of the Xiao Xing'an Mountains in China as the study area, located in the degradation zone on the southern margin of the permafrost region in Eurasia, and set up multiple study monitoring areas equipped with methane concentration sensors, air temperature sensors, pore water pressure sensors and soil temperature sensors for long-term monitoring of data changes using the high-density electrical method, ground penetrating radar and on-site drilling to survey the distribution of frozen soil and geological conditions in the study area, combined with remote sensing images of Sentinel-2 L1C and unmanned aerial vehicle photographs and three-dimensional image reconstruction, analysis of fire activities and related geological environmental factors."
air temperature,Climate_Variable,increases,pore water pressure,Climate_Variable,0.978,"We selected the northwestern section of the Xiao Xing'an Mountains in China as the study area, located in the degradation zone on the southern margin of the permafrost region in Eurasia, and set up multiple study monitoring areas equipped with methane concentration sensors, air temperature sensors, pore water pressure sensors and soil temperature sensors for long-term monitoring of data changes using the high-density electrical method, ground penetrating radar and on-site drilling to survey the distribution of frozen soil and geological conditions in the study area, combined with remote sensing images of Sentinel-2 L1C and unmanned aerial vehicle photographs and three-dimensional image reconstruction, analysis of fire activities and related geological environmental factors."
air temperature,Climate_Variable,increases,soil temperature,Climate_Variable,0.975,"We selected the northwestern section of the Xiao Xing'an Mountains in China as the study area, located in the degradation zone on the southern margin of the permafrost region in Eurasia, and set up multiple study monitoring areas equipped with methane concentration sensors, air temperature sensors, pore water pressure sensors and soil temperature sensors for long-term monitoring of data changes using the high-density electrical method, ground penetrating radar and on-site drilling to survey the distribution of frozen soil and geological conditions in the study area, combined with remote sensing images of Sentinel-2 L1C and unmanned aerial vehicle photographs and three-dimensional image reconstruction, analysis of fire activities and related geological environmental factors."
pore water pressure,Climate_Variable,occurs_in,Xiao Xing'an Mountains,Geo_Location,0.532,"We selected the northwestern section of the Xiao Xing'an Mountains in China as the study area, located in the degradation zone on the southern margin of the permafrost region in Eurasia, and set up multiple study monitoring areas equipped with methane concentration sensors, air temperature sensors, pore water pressure sensors and soil temperature sensors for long-term monitoring of data changes using the high-density electrical method, ground penetrating radar and on-site drilling to survey the distribution of frozen soil and geological conditions in the study area, combined with remote sensing images of Sentinel-2 L1C and unmanned aerial vehicle photographs and three-dimensional image reconstruction, analysis of fire activities and related geological environmental factors."
pore water pressure,Climate_Variable,increases,air temperature,Climate_Variable,0.951,"We selected the northwestern section of the Xiao Xing'an Mountains in China as the study area, located in the degradation zone on the southern margin of the permafrost region in Eurasia, and set up multiple study monitoring areas equipped with methane concentration sensors, air temperature sensors, pore water pressure sensors and soil temperature sensors for long-term monitoring of data changes using the high-density electrical method, ground penetrating radar and on-site drilling to survey the distribution of frozen soil and geological conditions in the study area, combined with remote sensing images of Sentinel-2 L1C and unmanned aerial vehicle photographs and three-dimensional image reconstruction, analysis of fire activities and related geological environmental factors."
pore water pressure,Climate_Variable,increases,soil temperature,Climate_Variable,0.975,"We selected the northwestern section of the Xiao Xing'an Mountains in China as the study area, located in the degradation zone on the southern margin of the permafrost region in Eurasia, and set up multiple study monitoring areas equipped with methane concentration sensors, air temperature sensors, pore water pressure sensors and soil temperature sensors for long-term monitoring of data changes using the high-density electrical method, ground penetrating radar and on-site drilling to survey the distribution of frozen soil and geological conditions in the study area, combined with remote sensing images of Sentinel-2 L1C and unmanned aerial vehicle photographs and three-dimensional image reconstruction, analysis of fire activities and related geological environmental factors."
soil temperature,Climate_Variable,increases,air temperature,Climate_Variable,0.97,"We selected the northwestern section of the Xiao Xing'an Mountains in China as the study area, located in the degradation zone on the southern margin of the permafrost region in Eurasia, and set up multiple study monitoring areas equipped with methane concentration sensors, air temperature sensors, pore water pressure sensors and soil temperature sensors for long-term monitoring of data changes using the high-density electrical method, ground penetrating radar and on-site drilling to survey the distribution of frozen soil and geological conditions in the study area, combined with remote sensing images of Sentinel-2 L1C and unmanned aerial vehicle photographs and three-dimensional image reconstruction, analysis of fire activities and related geological environmental factors."
